title,score,num_users_voted,num_fb_likes,genres,keywords,synopsis,date,budget,gross
Side Effects,7.1,148334,29000.0,crime__drama__thriller,clinical trial__psychiatrist__side effect__neuropharmacology__female protagonist,"Emily Taylor, despite being reunited with her husband from prison, becomes severely depressed with emotional episodes and suicide attempts. Her psychiatrist, Jonathan Banks, after conferring with her previous doctor, eventually prescribes an experimental new medication called Ablixa. The plot thickens when the side effects of the drug lead to Emily killing her husband in a ""sleepwalking"" state. With Emily plea-bargained into mental hospital confinement and Dr. Banks' practice crumbling around him, the case seems closed. However, Dr. Banks cannot accept full responsibility and investigates to clear his name. What follows is a dark quest that threatens to tear what's left of his life apart even as he discovers the diabolical truth of this tragedy.",2013-05-10,30000000,32154410
Malevolence,5.1,2413,198.0,crime__horror__mystery__thriller,robber__witness__swing__abandoned house__bank,"Created as the middle section of a three-part trilogy, 'Malevolence' is the tragic story of a group of bank robbers on the run from the law. They hide out in an abandoned house on the outskirts of town, unaware it is next door to the home of a family of serial killers. One of their hostages escapes and runs for help, but all hell breaks loose when she runs to the ""wrong"" house.",2013-05-10,200000,[]
Shooting the Warwicks,6.2,81,47.0,comedy__drama,reality__reality spoof__husband wife relationship__nudity__family relationships,"Shooting the Warwicks is a darkly comedic satire about reality TV producer Mickey Wagner and his amoral attempt to re-invent the genre. Mickey's revolutionary idea is to pick an average family and put them under all-encompassing surveillance...without their knowledge. Unfortunately, Mickey soon realizes that the family is boring. In a desperate attempt to salvage the show, Mickey begins to interfere by injecting conflict to create drama. As the show gets better, the family starts to disintegrate. Mickey rationalizes that all will be OK in the end, for once the episodes begin airing, fame will heal all wounds.",2013-05-10,250000,[]
Super Hybrid,3.9,1328,1100.0,horror__sci-fi__thriller,girl in bra and panties__blue bra and panties__female protagonist__killer car__based on comic book,"Late one night, a mysterious car is brought into the Chicago police impound garage after a deadly traffic accident. The on-call mechanics soon discover the car has a mind of its own. With hundreds of horsepower and two tons of reinforced steel at its command, it's a seemingly unstoppable killing machine capable of outrunning -- and outwitting -- humans.",2013-05-10,13000000,[]
Baghead,6.0,3507,443.0,comedy__drama__horror__romance,california__cabin__actor__vomiting__paper bag,"Four struggling actors retreat to a cabin in Big Bear, California in order to write a screenplay that will make them all stars. Problem is: What happens when their story idea -- a horror flick about a group of friends tormented by a villain with a bag over his head -- starts to come true?",2008-11-14,[],140016
Solitude,6.8,78,267.0,comedy__horror__mystery__thriller,,"After his mothers death, James Erikson discovers her old storage locker filled with journals and newspapers of his family's history. As he researches it, he finds out about the evil that his family has tried to contain for several generations.",2008-11-14,[],[]
The Case of the Grinning Cat,7.4,352,44.0,documentary,,"Monsieur Chat is a character (a yellow grinning cat) which appeared on Paris walls at the beginning of the years 2000. Following its steps, Chris Marker is depicting the very recent french history (elections, demonstrations, state scandals etc.) through the perceptive eye of this strange graffiti...",2008-11-14,,[]
Ordet,8.1,9903,863.0,drama__fantasy,faith__prayer__august__doctor__patriarch,"How do we understand faith and prayer, and what of miracles? August 1925 on a Danish farm. Widowed Patriarch Borgen, who's rather prominent in his community, has three sons: Mikkel, a good-hearted agnostic whose wife Inger is pregnant, Johannes, who believes he is Jesus, and Anders, young, slight, in love with the tailor's daughter. The fundamentalist sect of the girl's father is anathema to Borgen's traditional Lutheranism; he opposes the marriage until the tailor forbids it, then Borgen's pride demands that it happen. Unexpectedly, Inger, who is the family's sweetness and light, has problems with her pregnancy. The rational doctor arrives, and a long night brings sharp focus to at least four views of faith.",2008-11-14,[],[]
Good Dick,6.5,6689,1400.0,comedy__drama__romance,sex__video store__video store clerk__avoidant personality disorder__emotionally vulnerable,"They're in their 20s. He works in a video store; he's eager, chatty, sleeps in his car. She rents adult films, looks disheveled, rarely speaks. He chats her up, she brushes him off. He takes her address from store records and contrives to run into her. He rings her doorbell; she tells him to go away. He invents a story of a great-aunt who's died; she lets him in but holds a butcher knife between them. So it goes. He presses for a relationship; she ignores him, insults him, or yells. He's persistent, inviting her out, cooking, washing her hair. Both have demons and, as their natures become more clear, his addictive personality and her sex nausea may be on a collision course.",2008-10-17,[],15542
The Man from Earth,8.0,129799,46000.0,drama__romance__sci-fi,dialogue driven storyline__single setting__storytelling__cro magnon__single set production,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,2008-10-17,200000,[]
The Trials of Darryl Hunt,7.7,771,246.0,documentary__crime,wrongful conviction__trial__north carolina__murder__false accusation,"""The Trials of Darryl Hunt"" is a feature documentary about a brutal rape/murder case and a wrongly convicted man, Darryl Hunt, who spent nearly twenty years in prison for a crime he did not commit. Both a social justice story and a personally driven narrative, the film chronicles this capital case from 1984 through 2004. With exclusive footage from two decades, the film frames the judicial and emotional response to a chilling crime - and the implications that reverberate from Hunt's conviction - against a backdrop of class and racial bias in the South and in the American criminal justice system. This documentary is the culmination of ten years of research and filming. In 1993, inspired by claims of injustice and police conspiracy, the filmmakers began to shoot in North Carolina. Working from a mix of formats (16mm and 24P video) the film melds the visceral reality of a murder case with first person accounts and cinematic imagery, illuminating perceptions and memories of events as they...",2007-06-22,200000,1111
